code|description_serbian|description_latin
Z48.9|Praćenje i nega, neoznačeni u hirurškom lečenju|Praćenje i nega, neoznačeni u hirurškom lečenju
Z49|Nega koja uključuje dijalizu|Nega koja uključuje dijalizu
Z49.0|Pripremna nega za dijalizu|Pripremna nega za dijalizu
Z49.1|Ekstrakorporalna dijaliza|Ekstrakorporalna dijaliza
Z49.2|Druga dijaliza|Druga dijaliza
Z50|Nega koja uključuje upotrebu rehabilitacionih procedura|Nega koja uključuje upotrebu rehabilitacionih procedura
Z50.0|Rehabilitacija srca|Rehabilitacija srca
Z50.1|Druga fizikalna terapija|Druga fizikalna terapija
Z50.2|Rehabilitacija alkoholičara|Rehabilitacija alkoholičara
Z50.3|Rehabilitacija narkomana|Rehabilitacija narkomana
Z50.4|Psihoterapija|Psihoterapija
Z50.5|Terapija govora|Terapija govora
Z50.6|Ortoptičke vežbe|Ortoptičke vežbe
Z50.7|Profesionalna terapija i rehabilitacija|Profesionalna terapija i rehabilitacija
Z50.8|Nega koja uključuje korišćenje drugih rehabilitacionih procedura|Nega koja uključuje korišćenje drugih rehabilitacionih procedura
Z50.9|Nega koja uključuje rehabilitacione procedure,neoznačena|Nega koja uključuje rehabilitacione procedure,neoznačena
Z51|Druga medicinska nega|Druga medicinska nega
Z51.0|Radioterapijska seansa|Radioterapijska seansa
Z51.1|Hemoterapijska seansa zbog tumora|Hemoterapijska seansa zbog tumora
Z51.2|Druga hemioterapija|Druga hemioterapija
Z51.3|Transfuzija krvi bez utvrđene dijagnoze|Transfuzija krvi bez utvrđene dijagnoze
Z51.4|Pripremna nega za kasnije lečenje,neklasifikovana na drugom mestu|Pripremna nega za kasnije lečenje,neklasifikovana na drugom mestu
Z51.5|Palijativna nega|Palijativna nega
Z51.6|Desenzibilizacija na alergene|Desenzibilizacija na alergene
Z51.8|Druga specifična medicinska nega|Druga specifična medicinska nega
Z51.9|Medicinska nega,neoznačena|Medicinska nega,neoznačena
Z52|Davaoci organa i tkiva|Davaoci organa i tkiva
Z52.0|Davalac krvi|Davalac krvi
Z52.1|Davalac kože|Davalac kože
Z52.2|Davalac kosti|Davalac kosti
Z52.3|Davalac kostne srži|Davalac kostne srži
Z52.4|Davalac bubrega|Davalac bubrega
Z52.5|Davalac rožnjače|Davalac rožnjače
Z52.8|Davalac drugih organa i tkiva|Davalac drugih organa i tkiva
Z52.9|Davalac neoznačenog organa ili tkiva|Davalac neoznačenog organa ili tkiva
Z53|Osobe u kontaktu sa zdravstvenom službom zbog označenih procedura koje nisu izvršene|Osobe u kontaktu sa zdravstvenom službom zbog označenih procedura koje nisu izvršene
Z53.0|Procedura neizvršena zbog kontraindikacije|Procedura neizvršena zbog kontraindikacije
Z53.1|Procedura neizvršena zbog odluke pacijenta na osnovu ličnog uverenja ili pritiska sredine|Procedura neizvršena zbog odluke pacijenta na osnovu ličnog uverenja ili pritiska sredine
Z53.2|Procedura neizvršena zbog odluke pacijenta na osnovu drugih ili neoznačenih razloga|Procedura neizvršena zbog odluke pacijenta na osnovu drugih ili neoznačenih razloga
Z53.8|Procedura neizvršena zbog drugih razloga|Procedura neizvršena zbog drugih razloga
Z53.9|Procedura neizvršena zbog neoznačenih razloga|Procedura neizvršena zbog neoznačenih razloga
Z54|Oporavljanje|Oporavljanje
Z55|Problemi sa obrazovanjem i pismenošću|Problemi sa obrazovanjem i pismenošću
Z55.0|Nepismenost ili nizak nivo pismenosti|Nepismenost ili nizak nivo pismenosti
Z55.1|Nedostupnost školovanja|Nedostupnost školovanja
Z55.2|Neuspeh na ispitima|Neuspeh na ispitima
Z55.3|Neuspeh u školi|Neuspeh u školi
Z55.4|Neprilagođenost na uslove obrazovanja i neslaganje sa nastavnicima i školskim drugovima|Neprilagođenost na uslove obrazovanja i neslaganje sa nastavnicima i školskim drugovima
Z55.8|Drugi problemi povezani sa obrazovanjem i pismenošću|Drugi problemi povezani sa obrazovanjem i pismenošću
Z55.9|Problemi povezani sa obrazovanjem i pismenošću,neoznačeni|Problemi povezani sa obrazovanjem i pismenošću,neoznačeni
Z56|Problemi zaposlenih i nezaposlenih osoba|Problemi zaposlenih i nezaposlenih osoba
Z56.0|Nezaposlenost,neoznačena|Nezaposlenost,neoznačena
Z56.1|Promena posla|Promena posla
Z56.2|Strah od gubitka posla|Strah od gubitka posla
Z56.3|Stresogeni uslovi rada|Stresogeni uslovi rada
Z56.4|Neslaganje sa pretpostavljenim ili kolegama|Neslaganje sa pretpostavljenim ili kolegama
Z56.5|Neodgovarajući posao|Neodgovarajući posao
Z56.6|Drugi fizički ili psihički napor povezan sa poslom|Drugi fizički ili psihički napor povezan sa poslom
Z56.7|Drugi i neoznačeni problemi nezaposlenih osoba|Drugi i neoznačeni problemi nezaposlenih osoba
Z57|Profesionalna izloženost faktorima rizika|Profesionalna izloženost faktorima rizika
Z57.0|Profesionalna izloženost buci|Profesionalna izloženost buci
Z57.1|Profesionalna izloženost radijaciji|Profesionalna izloženost radijaciji
Z57.2|Profesionalna izloženost prašini|Profesionalna izloženost prašini
Z57.3|Profesionalna izloženost drugim zagađivačima vazduha|Profesionalna izloženost drugim zagađivačima vazduha
Z57.4|Profesionalna izloženost toksičkim agensima u poljoprivredi|Profesionalna izloženost toksičkim agensima u poljoprivredi
Z57.5|Profesionalna izlžoenost toksičkim agensima u drugim granama industrije|Profesionalna izlžoenost toksičkim agensima u drugim granama industrije
Z57.6|Profesionalna izloženost ekstremnim temperaturama|Profesionalna izloženost ekstremnim temperaturama
Z57.7|Profesionalna izlžoenost vibraciji|Profesionalna izlžoenost vibraciji
Z57.8|Profesionalna izloženost drugim faktorima rizika|Profesionalna izloženost drugim faktorima rizika
Z57.9|Profesionalna izloženost neoznačenim faktorima rizika|Profesionalna izloženost neoznačenim faktorima rizika
Z58|Problemi osoba u životnoj sredini|Problemi osoba u životnoj sredini
Z58.0|Izloženost buci|Izloženost buci
Z58.1|Izloženost zagađenom vazduhu|Izloženost zagađenom vazduhu
Z58.2|Izloženost zagađenoj vodi|Izloženost zagađenoj vodi
Z58.3|Izloženost zagađenom zemljištu|Izloženost zagađenom zemljištu
Z58.4|Izloženost radijaciji|Izloženost radijaciji
Z58.5|Izloženost drugom zagađenju|Izloženost drugom zagađenju
Z58.6|Neodgovarajuće snabdevanje vodom|Neodgovarajuće snabdevanje vodom
Z58.8|Drugi problemi osoba u životnoj sredini|Drugi problemi osoba u životnoj sredini
Z58.9|Problem osoba u životnoj sredini,neoznačen|Problem osoba u životnoj sredini,neoznačen
Z59|Problemi stanovanja i ekonomski problemi|Problemi stanovanja i ekonomski problemi
Z59.0|Beskućnik|Beskućnik
Z59.1|Neodgovarajući stambeni uslovi|Neodgovarajući stambeni uslovi
Z59.2|Neslaganje sa susedima,stanarima i stanodavcima|Neslaganje sa susedima,stanarima i stanodavcima
Z59.3|Problemi povezani sa stanovanjem u institucijama|Problemi povezani sa stanovanjem u institucijama
Z59.4|Nedostatak odgovarajuće ishrane|Nedostatak odgovarajuće ishrane
Z59.5|Krajnje siromaštvo|Krajnje siromaštvo
Z59.6|Mala primanja|Mala primanja
Z59.7|Nedovoljno socijalno osiguranje i socijalna zaštita|Nedovoljno socijalno osiguranje i socijalna zaštita
Z59.8|Drugi problemi stanovanja i ekonomski problemi|Drugi problemi stanovanja i ekonomski problemi
Z59.9|Problem stanovanja i ekonomski problemi,neoznačeni|Problem stanovanja i ekonomski problemi,neoznačeni
Z60|Problemi osoba u socijalnoj sredini|Problemi osoba u socijalnoj sredini
Z60.0|Problemi prilagođavanja životnim cikličnim promenama|Problemi prilagođavanja životnim cikličnim promenama
Z60.1|Atipična situacija u pogledu roditelja|Atipična situacija u pogledu roditelja
Z60.2|Samački život|Samački život
Z60.3|Teškoće u prilagođavanju kulturnoj sredini|Teškoće u prilagođavanju kulturnoj sredini
Z60.4|Socijalno isključivanje ili odbacivanje|Socijalno isključivanje ili odbacivanje
Z60.5|Žrtva opaŽene negativne diskriminacije i progona|Žrtva opaŽene negativne diskriminacije i progona
Z60.8|Drugi problemi povezani sa socijalnom sredinom|Drugi problemi povezani sa socijalnom sredinom
Z60.9|Problem povezan sa socijalnom sredinom,neoznačen|Problem povezan sa socijalnom sredinom,neoznačen
Z61|Problemi sa negativnim životnim doživljajima u detinjstvu|Problemi sa negativnim životnim doživljajima u detinjstvu
Z61.0|Nedostatak ljubavi u detinjstvu|Nedostatak ljubavi u detinjstvu
Z61.1|Odvajanje od kuće u detinjstvu|Odvajanje od kuće u detinjstvu
Z61.2|Izmenjeni porodični odnosi u detinjstvu|Izmenjeni porodični odnosi u detinjstvu
Z61.3|Događaji koji izazivaju gubitak samopouzdanja u detinjstvu|Događaji koji izazivaju gubitak samopouzdanja u detinjstvu
Z61.4|Problemi povezani sa navodnom seksualnom zloupotrebom deteta od strane osobe koja je u grupi za pruž|Problemi povezani sa navodnom seksualnom zloupotrebom deteta od strane osobe koja je u grupi za pruž
Z61.5|Problemi povezani sa navodnom seksualnom zloupotrebom deteta od strane osobe koja je izvan grupe za|Problemi povezani sa navodnom seksualnom zloupotrebom deteta od strane osobe koja je izvan grupe za
Z61.6|Problemi povezani sa navodnom fizičkom zloupotrebom deteta|Problemi povezani sa navodnom fizičkom zloupotrebom deteta
Z61.7|Lično iskustvo vezano za strahovanje u detinjstvu|Lično iskustvo vezano za strahovanje u detinjstvu
Z61.8|Drugi negativni životni događaji u detinjstvu|Drugi negativni životni događaji u detinjstvu
Z61.9|Negativni životni događaj u detinjstvu,neoznačen|Negativni životni događaj u detinjstvu,neoznačen
Z62|Drugi problemi vaspitanja|Drugi problemi vaspitanja
Z62.0|Neodgovarajući roditeljski nadzori i kontrola|Neodgovarajući roditeljski nadzori i kontrola
Z62.1|Preterana roditeljska zaštita|Preterana roditeljska zaštita
Z62.2|Vaspitanje u instituciji|Vaspitanje u instituciji
Z62.3|Neprijateljstvo prema detetu ili okrivljavanje deteta|Neprijateljstvo prema detetu ili okrivljavanje deteta
Z62.4|Emotivno zapostavljanje deteta|Emotivno zapostavljanje deteta
Z62.5|Drugi problemi povezani sa zapostavljenjem u vaspitanju|Drugi problemi povezani sa zapostavljenjem u vaspitanju
Z62.6|Neodgovarajući pritisak roditelja i druga nenormalna svojstva vaspitanja|Neodgovarajući pritisak roditelja i druga nenormalna svojstva vaspitanja
Z62.8|Drugi označeni problemi vezani za vaspitanje|Drugi označeni problemi vezani za vaspitanje
Z62.9|Problem povezan sa vaspitanjem,neoznačen|Problem povezan sa vaspitanjem,neoznačen
Z63|Drugi problemi sa grupom za primarnu podršku,uključujući i porodičnu sredinu|Drugi problemi sa grupom za primarnu podršku,uključujući i porodičnu sredinu
Z63.0|Problemi u odnosima sa bračnim drugom ili partnerom|Problemi u odnosima sa bračnim drugom ili partnerom
Z63.1|Problemi u odnosima sa roditeljima i rođacima|Problemi u odnosima sa roditeljima i rođacima
Z63.2|Neodgovarajuća podrška porodice|Neodgovarajuća podrška porodice
Z63.3|Odsustvo člana porodice|Odsustvo člana porodice
Z63.4|Nestanak ili smrt člana porodice|Nestanak ili smrt člana porodice
Z63.5|Raspad porodice razdvajanjem ili razvodom|Raspad porodice razdvajanjem ili razvodom
Z63.6|Izdržavani rođak kome je potrebna nega u kući|Izdržavani rođak kome je potrebna nega u kući
Z63.7|Drugi stresogeni životni događaji koji utiču na porodicu i dom|Drugi stresogeni životni događaji koji utiču na porodicu i dom
Z63.8|Drugi označeni problemi povezani sa grupom za primarnu podršku|Drugi označeni problemi povezani sa grupom za primarnu podršku
Z63.9|Problem povezan sa grupom za primarnu podršku,neoznačen|Problem povezan sa grupom za primarnu podršku,neoznačen
Z64|Problemi uzrokovani psihosocijalnim uslovima|Problemi uzrokovani psihosocijalnim uslovima
Z64.0|Problemi povezani sa neželjenom trudnoćom|Problemi povezani sa neželjenom trudnoćom
Z64.1|Problemi povezani sa multiparitetom|Problemi povezani sa multiparitetom
Z64.2|Traženje i prihvatanje fizičkih,nutritivnih i hemijskih intervencija za koje se zna da su štetne i o|Traženje i prihvatanje fizičkih,nutritivnih i hemijskih intervencija za koje se zna da su štetne i o
Z64.3|Traženje i prihvatanje ponašanja i psihosocijalnih intervencija za koje se zna da su štetne i opasne|Traženje i prihvatanje ponašanja i psihosocijalnih intervencija za koje se zna da su štetne i opasne
Z64.4|Neslaganje sa savetodavnom službom|Neslaganje sa savetodavnom službom
Z65|Problemi uzrokovani drugim psihosocijalnim uslovima|Problemi uzrokovani drugim psihosocijalnim uslovima
Z70|Konsultovanje u vezi sa seksualnim stavom,ponašanjem i orijentacijom|Konsultovanje u vezi sa seksualnim stavom,ponašanjem i orijentacijom
Z70.0|Konsultovanje u vezi sa stavom o seksu|Konsultovanje u vezi sa stavom o seksu
Z70.1|Konsultovanje u pogledu seksualnog ponašanja i orijentacije pacijenata|Konsultovanje u pogledu seksualnog ponašanja i orijentacije pacijenata
Z70.2|Konsultovanje u vezi sa seksualnim ponašanjem i orijentacijom treće osobe|Konsultovanje u vezi sa seksualnim ponašanjem i orijentacijom treće osobe
Z70.3|Konsultovanje u pogledu seksualnog stava,ponašanja i orijentacije u situaciji kada je više strana za|Konsultovanje u pogledu seksualnog stava,ponašanja i orijentacije u situaciji kada je više strana za
Z70.8|Drugo savetovanje u pogledu seksa|Drugo savetovanje u pogledu seksa
Z70.9|Seksualno savetovanje, neoznačeno|Seksualno savetovanje, neoznačeno
Z71|Osobe u kontaktu sa zdravstvenom službom radi drugog konsultovanja i medicinskog saveta|Osobe u kontaktu sa zdravstvenom službom radi drugog konsultovanja i medicinskog saveta
Z71.0|Osoba koja se konsultuje u korist druge osobe|Osoba koja se konsultuje u korist druge osobe
Z71.1|Osoba sa žalbama straha kod koje nije postavljena nikakva dijagnoza|Osoba sa žalbama straha kod koje nije postavljena nikakva dijagnoza
Z71.2|Osoba koja se konsultuje radi objašnjenja nalaza ispitivanja|Osoba koja se konsultuje radi objašnjenja nalaza ispitivanja
Z71.3|Dijetetsko savetovanje i nadzor|Dijetetsko savetovanje i nadzor
Z71.4|Savetovanje i nadzor zbog zloupotrebe alkohola|Savetovanje i nadzor zbog zloupotrebe alkohola
Z71.5|Savetovanje i nadzor zbog narkomanije|Savetovanje i nadzor zbog narkomanije
Z71.6|Savetovanje i nadzor zbog zloupotrebe duvana|Savetovanje i nadzor zbog zloupotrebe duvana
Z71.7|Savetovanje u vezi sa virusom humane imunodeficijencije (HIV)|Savetovanje u vezi sa virusom humane imunodeficijencije (HIV)
Z71.8|Drugo označeno savetovanje|Drugo označeno savetovanje
Z71.9|Savetovanje, neoznačeno|Savetovanje, neoznačeno
Z72|Problemi povezani sa načinom života|Problemi povezani sa načinom života
Z72.0|Upotreba duvana|Upotreba duvana
Z72.2|Upotreba droga|Upotreba droga
Z72.3|Odsustvo fizičkog vežbanja|Odsustvo fizičkog vežbanja
Z72.4|Neodgovarajuća ishrana i navike u ishrani|Neodgovarajuća ishrana i navike u ishrani
Z72.5|Visoko rizično seksualno ponašanje|Visoko rizično seksualno ponašanje
Z72.6|Kockanje i klađenje|Kockanje i klađenje
Z72.8|Drugi problemi povezani sa načinom života|Drugi problemi povezani sa načinom života
Z72.9|Problem povezan sa načinom života,neoznačen|Problem povezan sa načinom života,neoznačen
Z73|Problemi u savlađivanju životnih teškoća|Problemi u savlađivanju životnih teškoća
Z73.0|Iscrpljenost|Iscrpljenost
Z73.1|Prenaglašenost nekih ličnih karakteristika|Prenaglašenost nekih ličnih karakteristika
Z73.2|Odsustvo relaksacije i odmora|Odsustvo relaksacije i odmora
Z73.3|Stres|Stres
Z73.4|Neodgovarajuća sposobnost socijalnog prilagođavanja|Neodgovarajuća sposobnost socijalnog prilagođavanja
Z73.5|Konflikti socijalne prirode|Konflikti socijalne prirode
Z73.6|Ograničene aktivnosti zbog invalidnosti|Ograničene aktivnosti zbog invalidnosti
Z73.8|Drugi problemi povezani sa savlađivanjem životnih teškoća|Drugi problemi povezani sa savlađivanjem životnih teškoća
Z73.9|Problem povezan sa savlađivanjem životnih teškoća|Problem povezan sa savlađivanjem životnih teškoća
Z74|Problemi osoba sa tuđom negom|Problemi osoba sa tuđom negom
Z74.0|Smanjena pokretljivost|Smanjena pokretljivost
Z74.1|Potreba za pomoći u ličnoj nezi|Potreba za pomoći u ličnoj nezi
Z74.2|Potreba za pomoći u kući i nedostajanje drugog člana domaćinstva sposobnog za pružanje nege|Potreba za pomoći u kući i nedostajanje drugog člana domaćinstva sposobnog za pružanje nege
Z74.3|Potreba za neprekidnim nadzorom|Potreba za neprekidnim nadzorom
Z74.8|Drugi problemi povezani sa tuđom negom|Drugi problemi povezani sa tuđom negom
Z74.9|Problem povezan sa tuđom negom,neoznačen|Problem povezan sa tuđom negom,neoznačen
Z75|Problemi osoba sa medicinskim ustanovama i drugom zdravstvenom zaštitom|Problemi osoba sa medicinskim ustanovama i drugom zdravstvenom zaštitom
Z75.0|Medicinske usluge nisu dostupne u kući|Medicinske usluge nisu dostupne u kući
Z75.1|Osoba koja čeka prijem u odgovarajuću ustanovu na drugom mestu|Osoba koja čeka prijem u odgovarajuću ustanovu na drugom mestu
Z75.2|Drugi period čekanja radi ispitivanja i lečenja|Drugi period čekanja radi ispitivanja i lečenja
Z75.3|Nepostojanje ili nedostupnost zdravstvenih ustanova|Nepostojanje ili nedostupnost zdravstvenih ustanova
